2018-07-27T14:18:41.161543: step 1, loss 2.36023, acc 0.46875
2018-07-27T14:19:54.507978: step 2, loss 1.69251, acc 0.59375
2018-07-27T14:21:05.769059: step 3, loss 2.59408, acc 0.53125
2018-07-27T14:22:12.750451: step 4, loss 1.06179, acc 0.71875
2018-07-27T14:23:34.365157: step 5, loss 2.87235, acc 0.46875
2018-07-27T14:24:55.675611: step 6, loss 3.00226, acc 0.515625
2018-07-27T14:26:17.559262: step 7, loss 1.49391, acc 0.625
2018-07-27T14:27:42.127988: step 8, loss 2.09206, acc 0.609375
2018-07-27T14:29:19.766146: step 9, loss 3.40196, acc 0.453125
2018-07-27T14:31:07.465482: step 10, loss 2.47999, acc 0.5625
2018-07-27T14:32:31.777121: step 11, loss 2.02752, acc 0.625
2018-07-27T14:33:43.616366: step 12, loss 1.40209, acc 0.65625
2018-07-27T14:35:12.994326: step 13, loss 2.16997, acc 0.65625
2018-07-27T14:36:36.930073: step 14, loss 2.06547, acc 0.65625
